State,National Park,Visitation,Total Recreation Visitor Hours
Florida,Dry Tortugas NP,"78,488","598,701"
Florida,Everglades NP,"1,155,193","6,053,850"
Florida,Fort Caroline NMEM,"329,363","329,363"
Florida,Fort Matanzas NM,"698,895","714,023"
Florida,Gulf Islands NS,"4,510,953","11,486,470"
Florida,Timucuan EHP,"1,102,223","2,753,308"
Georgia,Andersonville NHS,"60,109","120,218"
Georgia,Chattahoochee River NRA,"3,537,848","14,151,389"
Georgia,Chickamauga & Chattanooga NMP,"482,136","935,925"
Georgia,Cumberland Island NS,"64,387","852,696"
Georgia,Fort Frederica NM,"245,214","247,483"
Georgia,Fort Pulaski NM,"471,077","942,154"
Georgia,Jimmy Carter NHP,"35,308","43,030"
Georgia,Kennesaw Mountain NBP,"1,322,003","2,054,535"
Georgia,"Martin Luther King, Jr. NHP","242,789","368,326"
Georgia,Ocmulgee Mounds NHP,"155,242","232,865"
Guam,War in the Pacific NHP,"380,578","381,902"
Hawaii,Haleakala NP,"1,087,616","2,918,775"
Hawaii,Hawaii Volcanoes NP,"1,580,961","10,412,282"
Hawaii,Kalaupapa NHP,"38,771","83,461"
Hawaii,Kaloko Honokohau NHP,"291,342","634,260"
Hawaii,Pearl Harbor NMEM,"1,545,582","4,636,746"
Hawaii,Pu'uhonua o Honaunau NHP,"311,441","311,441"
Hawaii,Pu'ukohola Heiau NHS,"31,602","15,802"
Idaho,City of Rocks NRES,"83,996","293,981"
Idaho,Craters of the Moon NM & PRES,"237,774","724,731"
Idaho,Hagerman Fossil Beds NM,"25,122","37,685"
Idaho,Minidoka NHS,"4,971","6,324"
Idaho,Nez Perce NHP,"344,517","276,292"
Illinois,Lincoln Home NHS,"145,144","128,744"
Indiana,George Rogers Clark NHP,"123,229","165,127"
Indiana,Indiana Dunes NP,"2,834,180","7,755,716"
Indiana,Lincoln Boyhood NMEM,"105,819","119,046"
Iowa,Effigy Mounds NM,"56,422","141,054"
Iowa,Herbert Hoover NHS,"103,804","103,804"
Kansas,Brown v. Board of Education NHP,"15,564","31,128"
Kansas,Fort Larned NHS,"26,219","52,438"
Kansas,Fort Scott NHS,"26,854","40,280"
Kansas,Nicodemus NHS,"5,307","5,307"
Kansas,Tallgrass Prairie NPRES,"24,795","49,590"
Kentucky,Abraham Lincoln Birthplace NHP,"265,707","265,707"
Kentucky,Big South Fork NRRA,"327,067","2,356,895"
Kentucky,Camp Nelson NM,"16,217","12,162"
Kentucky,Cumberland Gap NHP,"681,612","1,604,401"
Kentucky,Mammoth Cave NP,"663,147","5,055,162"
Louisiana,Cane River Creole NHP,"14,811","29,617"
Louisiana,Jean Lafitte NHP & PRES,"269,748","587,072"
Louisiana,New Orleans Jazz NHP,"37,410","47,358"
Maine,Acadia NP,"3,970,260","26,678,263"
Maine,Katahdin Woods and Waters NM,"43,231","203,503"
Maine,Saint Croix Island IHS,"12,139","15,173"
Maryland,Antietam NB,"115,619","240,414"
Maryland,Assateague Island NS,"772,289","6,566,987"
Maryland,Catoctin Mountain Park,"450,322","1,769,852"
Maryland,Chesapeake & Ohio Canal NHP,"3,257,501","6,956,426"
Maryland,Clara Barton NHS,673,673
Maryland,Fort McHenry NM & HS,"223,957","335,932"
Maryland,Fort Washington Park,"406,917","1,574,736"
Maryland,Greenbelt Park,"60,800","166,227"
Maryland,Hampton NHS,"12,506","18,758"
Maryland,Monocacy NB,"127,111","279,025"
Maryland,National Capital Parks East,"126,785","216,120"
Maryland,Piscataway Park,"243,212","448,491"
Maryland,Thomas Stone NHS,"4,821","2,407"
Massachusetts,Adams NHP,"12,848","12,460"
Massachusetts,Boston African American NHS,"390,765","781,530"
Massachusetts,Boston Harbor Islands NRA,"29,241","7,310"
Massachusetts,Boston NHP,"2,123,246","1,824,671"
Massachusetts,Cape Cod NS,"3,968,672","7,739,563"
Massachusetts,Frederick Law Olmsted NHS,"14,148","28,296"
Massachusetts,John F. Kennedy NHS,100,50
Massachusetts,Longfellow House Washington's HQ NHS,"60,558","90,836"
Massachusetts,Lowell NHP,"209,284","315,591"
Massachusetts,Minute Man NHP,"960,343","1,440,513"
Massachusetts,New Bedford Whaling NHP,"13,570","2,164"
Massachusetts,Salem Maritime NHS,"392,836","201,586"
Massachusetts,Saugus Iron Works NHS,"27,478","41,219"
Massachusetts,Springfield Armory NHS,"14,486","28,977"
Michigan,Isle Royale NP,"25,454","1,404,008"
Michigan,Keweenaw NHP,"15,255","27,953"
Michigan,Pictured Rocks NL,"925,685","7,109,905"
Michigan,River Raisin NBP,"241,998","483,998"
Michigan,Sleeping Bear Dunes NL,"1,501,117","8,716,470"
Minnesota,Grand Portage NM,"93,108","198,014"
Minnesota,Mississippi NRRA,"303,882","504,210"
Minnesota,Pipestone NM,"78,036","195,093"
Minnesota,Saint Croix NSR,"416,886","3,888,406"
Minnesota,Voyageurs NP,"221,434","1,048,987"
Mississippi,Gulf Islands NS,"1,174,203","6,137,087"
Mississippi,Medgar and Myrlie Evers Home NM,"11,231","12,202"
Mississippi,Natchez NHP,"64,691","163,583"
Mississippi,Natchez Trace PKWY,"5,234,829","21,129,600"
Mississippi,Vicksburg NMP,"410,487","912,962"
Missouri,Gateway Arch NP,"1,618,774","6,459,955"
Missouri,George Washington Carver NM,"29,725","38,641"
Missouri,Harry S Truman NHS,"21,471","14,643"
Missouri,Ozark NSR,"1,291,305","3,519,220"
Missouri,Ulysses S. Grant NHS,"32,354","48,531"
Missouri,Wilson's Creek NB,"282,914","565,826"
Montana,Big Hole NB,"54,781","74,509"
Montana,Bighorn Canyon NRA,"117,537","499,769"
Montana,Glacier NP,"2,908,458","31,296,627"
Montana,Grant-Kohrs Ranch NHS,"24,351","29,951"
Montana,Little Bighorn Battlefield NM,"168,433","168,452"
Montana,Yellowstone NP,"1,678,023","20,261,408"
Nebraska,Agate Fossil Beds NM,"16,357","46,052"
Nebraska,Homestead NHP,"47,614","79,988"
Nebraska,Niobrara NSR,"80,071","618,953"
Nebraska,Scotts Bluff NM,"174,651","331,835"
Nevada,Death Valley NP,"20,309","113,720"
Nevada,Great Basin NP,"142,115","1,569,574"
Nevada,Lake Mead NRA,"4,183,669","32,110,729"
Nevada,Tule Springs Fossil Beds NM,"47,674","71,511"
New Hampshire,Saint-Gaudens NHP,"25,513","48,291"
New Jersey,Delaware Water Gap NRA,"3,109,961","13,003,697"
New Jersey,Gateway NRA,"1,715,457","5,973,240"
New Jersey,Morristown NHP,"245,231","644,067"
New Jersey,Paterson Great Falls NHP,"248,293","447,440"
New Jersey,Thomas Edison NHP,"33,095","40,008"
New Mexico,Aztec Ruins NM,"50,396","75,594"
New Mexico,Bandelier NM,"210,941","883,788"
New Mexico,Capulin Volcano NM,"88,541","121,311"
New Mexico,Carlsbad Caverns NP,"390,932","1,483,277"
New Mexico,Chaco Culture NHP,"41,594","710,863"
New Mexico,El Malpais NM,"162,755","651,019"
New Mexico,El Morro NM,"60,501","187,829"
New Mexico,Fort Union NM,"7,557","8,917"
New Mexico,Gila Cliff Dwellings NM,"43,608","65,412"
New Mexico,Manhattan Project NHP,"9,616","5,170"
New Mexico,Pecos NHP,"49,683","63,429"
New Mexico,Petroglyph NM,"339,394","678,785"
New Mexico,Salinas Pueblo Missions NM,"37,190","75,817"
New Mexico,Valles Caldera NPRES,"63,738","205,999"
New Mexico,White Sands NP,"705,127","1,399,252"
New York,African Burial Ground NM,"29,743","17,872"
New York,Castle Clinton NM,"3,471,661","1,737,636"
New York,Eleanor Roosevelt NHS,"19,076","28,616"
New York,Federal Hall NMEM,"40,229","35,491"
New York,Fire Island NS,"393,749","1,411,919"
New York,Fort Stanwix NM,"71,716","107,575"
New York,Gateway NRA,"7,012,833","18,785,738"
New York,General Grant NMEM,"132,542","189,954"
New York,Governors Island NM,"44,345","88,689"
New York,Hamilton Grange NMEM,"45,198","29,108"
New York,Home of Franklin D. Roosevelt NHS,"100,665","155,700"
New York,Martin Van Buren NHS,"11,702","19,665"
New York,Sagamore Hill NHS,"91,735","229,337"
New York,Saint Paul's Church NHS,"8,790","11,906"
New York,Saratoga NHP,"70,742","174,476"
New York,Statue of Liberty NM,"3,141,213","14,135,458"
New York,Stonewall NM,"1,581,961","1,530,082"
New York,Theodore Roosevelt Birthplace NHS,"7,948","9,499"
New York,Theodore Roosevelt Inaugural NHS,"19,728","36,698"
New York,Upper Delaware S&RR,"135,360","519,745"
New York,Vanderbilt Mansion NHS,"326,012","388,673"
New York,Women's Rights NHP,"34,294","36,740"
North Carolina,Blue Ridge PKWY,"9,740,823","60,622,402"
North Carolina,Cape Hatteras NS,"2,862,844","15,986,613"
North Carolina,Cape Lookout NS,"541,533","2,866,639"
North Carolina,Carl Sandburg Home NHS,"79,123","79,123"
North Carolina,Fort Raleigh NHS,"287,650","393,985"
North Carolina,Great Smoky Mountains NP,"5,692,558","42,240,305"
North Carolina,Guilford Courthouse NMP,"389,057","209,298"
North Carolina,Moores Creek NB,"53,681","35,819"
North Carolina,Wright Brothers NMEM,"437,391","437,391"
North Dakota,Fort Union Trading Post NHS,"12,822","15,768"
North Dakota,Knife River Indian Villages NHS,"9,217","13,451"
North Dakota,Theodore Roosevelt NP,"668,679","2,566,720"
Ohio,Charles Young Buffalo Soldiers NM,"3,518","4,334"
Ohio,Cuyahoga Valley NP,"2,913,312","8,151,031"
Ohio,Dayton Aviation Heritage NHP,"81,303","111,719"
Ohio,First Ladies NHS,"7,146","14,292"
Ohio,Hopewell Culture NHP,"51,850","103,701"
Ohio,James A. Garfield NHS,"32,173","64,346"
Ohio,Perry's Victory & Intl. Peace MEM,"90,988","107,579"
Ohio,William Howard Taft NHS,"27,740","27,740"
Oklahoma,Chickasaw NRA,"1,455,530","6,025,690"
